APPLE,round fruit that grows on trees often red
HOUSE,building where people live
BOOK,collection of pages with stories or information
DOG,common four legged pet that barks
CAT,furry pet known for catching mice
CAR,road vehicle with four wheels and engine
TREE,tall plant with leaves and branches
BALL,round object used in games and sports
SUN,star that provides light and heat to earth
WATER,clear liquid essential for life
ELEPHANT,large mammal with a trunk and tusks
MOUNTAIN,very high natural land formation
COMPUTER,electronic device for processing data
BICYCLE,two wheeled vehicle powered by pedals
KITCHEN,room for cooking and preparing food
FLOWER,colorful part of a plant that blooms
RIVER,flowing body of water
FOREST,large area covered with many trees
AIRPLANE,flying vehicle for transportation
MUSIC,sound arranged in pleasing patterns
BELLIGERENT,hostile and aggressive
CIRCUITOUS,longer route that is not direct
DELETERIOUS,causing harm or damage
EFFERVESCENT,bubbly and lively
FURTIVE,secretive or trying to avoid notice
GREGARIOUS,very sociable and outgoing
HEDONISTIC,devoted to pleasure and self indulgence
INCANDESCENT,glowing with intense heat and light
JUBILANT,feeling or expressing great joy
KALEIDOSCOPIC,changing patterns and colors constantly
LANGUOROUS,relaxed and peaceful in a lazy way
MELLIFLUOUS,smooth and sweet sounding
NEBULOUS,vague or unclear
OBFUSCATE,make something confusing or unclear
PANACEA,solution for all problems
QUAGMIRE,difficult or complicated situation
RECALCITRANT,resistant to authority or control
SURREPTITIOUS,kept secret especially because improper
TENACIOUS,persistent and determined
UNASSUMING,not pretentious or arrogant
VORACIOUS,having a huge appetite
WHIMSICAL,playfully quaint or fanciful
XENIAL,friendly especially to strangers or guests
YOKEL,person living in the countryside considered unsophisticated
ZEPHYR,soft gentle breeze
XENOPHOBIA,fear or dislike of people from other countries
QUINTESSENTIAL,most perfect or typical example of something
EPISTEMOLOGY,study of knowledge and how we know things
ONOMATOPOEIA,words that imitate the sound they describe
SCHADENFREUDE,pleasure from someone elses misfortune
PNEUMONIA,infection causing inflammation in the lungs
HYPOTHETICAL,based on a suggested situation rather than real
CACOPHONY,harsh mixture of loud sounds
EUPHEMISM,mild expression replacing a harsh one
PARADIGM,typical example or pattern of something
METICULOUS,showing great attention to detail
UBIQUITOUS,present or found everywhere
RESILIENT,able to recover from difficulties
ANECDOTE,short interesting story about a real event
PERNICIOUS,having a harmful effect especially gradually
OBNOXIOUS,extremely unpleasant or rude
LACONIC,using very few words
SERENDIPITY,finding something good without looking for it
EPHEMERAL,lasting for a very short time
ABSTEMIOUS,not eating or drinking too much
INEFFABLE,too great to be expressed in words
LUGUBRIOUS,looking or sounding very sad
PERFIDIOUS,not able to be trusted
QUIXOTIC,exceedingly idealistic and unrealistic
SYCOPHANT,person who flatters for personal gain
TACITURN,reserved and saying little
VERACITY,truthfulness or accuracy
WINSOME,attractive or appealing in a fresh way
ZEALOT,person with extreme enthusiasm for a cause
